cluster_names	Z7542	Z7546	Z7547	Z7574
103P14B1_2	0	0	0	0
103P14B1_3	0	0	0	0
103P14B1_4	0	0	0	0
103P14B1_5	0	0	0	0
103P14B1_6	0	0	0	0
103P14B1_7	0	0	0	0
103P14B1_8	0	0	0	0
103P14B1_10	0	0	0	0
103P14B1_11	0	0	0	0
103P14B1_12	0	0	0	0
103P14B1_14	1	1	1	1
103P14B1_17	1	1	1	1
103P14B1_20	0	0	0	0
103P14B1_21	0	0	0	0
103P14B1_24	1	1	1	1
103P14B1_25	1	1	1	1
103P14B1_27	1	1	1	1
103P14B1_28	1	1	1	1
103P14B1_29	1	1	1	1
103P14B1_33	1	1	1	1
103P14B1_34	1	1	1	1
103P14B1_35	1	1	1	1
103P14B1_36	1	1	1	1
103P14B1_37	1	1	1	1
103P14B1_38	1	1	1	1
103P14B1_39	1	1	1	1
103P14B1_40	1	1	1	1
103P14B1_41	1	1	1	1
103P14B1_42	1	1	1	1
103P14B1_43	1	1	1	1
103P14B1_45	1	1	1	1
103P14B1_47	1	1	1	1
103P14B1_48	1	1	1	1
103P14B1_49	1	1	1	1
103P14B1_50	1	1	1	1
103P14B1_51	0	0	0	0
103P14B1_54	1	1	1	1
103P14B1_55	1	1	1	1
103P14B1_56	1	1	1	1
103P14B1_57	1	1	1	1
103P14B1_58	1	1	1	1
103P14B1_59	1	1	1	1
103P14B1_60	1	1	1	1
103P14B1_61	1	1	1	1
103P14B1_62	1	1	1	1
103P14B1_64	0	0	0	0
103P14B1_65	1	0	1	1
103P14B1_66	0	0	0	0
103P14B1_67	0	0	0	0
103P14B1_68	0	0	0	0
103P14B1_69	0	0	0	0
103P14B1_71	0	0	0	0
103P14B1_72	1	1	1	1
103P14B1_73	1	1	1	1
103P14B1_75	1	1	1	1
103P14B1_76	1	1	1	1
103P14B1_77	1	1	1	1
103P14B1_79	0	0	0	0
103P14B1_81	1	1	1	1
103P14B1_86	1	1	1	1
103P14B1_87	1	1	1	1
103P14B1_88	1	1	1	1
103P14B1_89	1	1	1	1
103P14B1_90	1	1	1	1
103P14B1_91	1	1	1	1
103P14B1_101	1	1	1	1
103P14B1_102	1	1	1	1
103P14B1_103	1	1	1	1
103P14B1_104	1	1	1	1
103P14B1_105	1	1	1	1
103P14B1_106	1	1	1	1
103P14B1_107	1	1	1	1
103P14B1_108	1	1	1	1
103P14B1_109	1	1	1	1
103P14B1_110	1	0	1	1
103P14B1_118	1	1	1	1
103P14B1_119	1	1	1	1
103P14B1_120	1	1	1	1
103P14B1_122	1	1	1	1
103P14B1_124	1	1	1	1
103P14B1_125	1	1	1	1
103P14B1_126	1	1	1	1
103P14B1_127	1	1	1	1
103P14B1_128	1	1	1	1
103P14B1_129	1	1	1	1
103P14B1_130	1	1	1	1
103P14B1_131	1	1	1	1
103P14B1_132	1	1	1	1
103P14B1_133	1	1	1	1
103P14B1_134	1	1	1	1
103P14B1_136	1	1	1	1
103P14B1_137	1	1	1	1
103P14B1_138	1	1	1	1
103P14B1_139	1	1	1	1
103P14B1_140	1	1	1	1
103P14B1_141	1	1	1	1
103P14B1_142	1	1	1	1
103P14B1_143	1	1	1	1
103P14B1_144	1	1	1	1
103P14B1_145	1	1	1	1
103P14B1_149	1	1	1	1
103P14B1_150	1	1	1	1
103P14B1_152	1	1	1	1
103P14B1_153	1	1	1	1
103P14B1_154	1	1	1	1
103P14B1_155	1	1	1	1
103P14B1_156	1	1	1	1
103P14B1_157	1	1	1	1
103P14B1_158	1	1	1	1
103P14B1_159	1	1	1	1
103P14B1_160	1	1	1	1
103P14B1_161	1	1	1	1
103P14B1_162	1	1	1	1
103P14B1_164	1	1	1	1
